stream_id,step,stream_fraction,exact_f0,hll_estimate,hllp_estimate
17,90000,0.9000,86064,75142.06,75142.06
17,95000,0.9500,90803,78715.96,78715.96
17,100000,1.0000,95530,80373.01,80373.01
18,5000,0.0500,4903,4317.04,4317.04
18,10000,0.1000,9717,9136.39,9136.39
18,15000,0.1500,14549,14171.46,14171.46
18,20000,0.2000,19348,17880.08,17880.08
18,25000,0.2500,24149,22998.73,22998.73
18,30000,0.3000,28937,27354.73,27354.73
18,35000,0.3500,33746,32373.73,32373.73
18,40000,0.4000,38538,37288.56,37288.56
18,45000,0.4500,43335,42270.69,42270.69
18,50000,0.5000,48065,45459.94,45459.94
18,55000,0.5500,52821,48249.95,48249.95
18,60000,0.6000,57584,54542.13,54542.13
18,65000,0.6500,62343,58223.22,58223.22
18,70000,0.7000,67122,61545.28,61545.28
18,75000,0.7500,71874,68540.90,68540.90
18,80000,0.8000,76627,72036.36,72036.36
18,85000,0.8500,81367,76023.49,76023.49
18,90000,0.9000,86109,78062.64,78062.64
18,95000,0.9500,90876,82258.95,82258.95
18,100000,1.0000,95615,87862.99,87862.99
19,5000,0.0500,4915,4474.64,4474.64
19,10000,0.1000,9751,9404.33,9404.33
19,15000,0.1500,14551,16157.36,16157.36
19,20000,0.2000,19368,22014.18,22014.18
19,25000,0.2500,24170,25160.53,25160.53
19,30000,0.3000,28990,29223.85,29223.85
19,35000,0.3500,33797,32858.19,32858.19
19,40000,0.4000,38580,37908.52,37908.52
19,45000,0.4500,43326,42872.23,42872.23
19,50000,0.5000,48077,47941.03,47941.03
19,55000,0.5500,52848,53740.22,53740.22
19,60000,0.6000,57613,56487.60,56487.60
19,65000,0.6500,62356,62982.73,62982.73
19,70000,0.7000,67132,67167.96,67167.96
19,75000,0.7500,71884,72059.08,72059.08
19,80000,0.8000,76624,77778.24,77778.24
19,85000,0.8500,81396,80657.75,80657.75
19,90000,0.9000,86167,85789.77,85789.77
19,95000,0.9500,90913,92161.18,92161.18
19,100000,1.0000,95665,96545.21,96545.21
